"date_time","msa","wind_speed","saws_temp","hrseg","timepoint"
2013-04-21,0.092773521659521,2,18.5,180,2013-04-21 08:05:34
2013-04-21,0.0147958793552916,2,18.5,180,2013-04-21 08:07:24
2013-04-21,0.0361028666959597,2,18.5,180,2013-04-21 08:09:15
2013-04-21,0.0155531899526058,2,18.5,180,2013-04-21 08:11:07
2013-04-21,0.0169061942492713,2,18.5,180,2013-04-21 08:13:02
2013-04-21,0.0177170063024404,2,18.5,180,2013-04-21 08:14:52
2013-04-21,0.0142608510938933,2,18.5,180,2013-04-21 08:16:43
2013-04-21,0.0167077118996309,2,18.5,180,2013-04-21 08:18:35
2013-04-21,0.00885637437031139,2,18.5,180,2013-04-21 08:20:27
2013-04-21,0.0113417263951932,2,18.5,181,2013-04-21 08:24:28
2013-04-21,0.00985901012469648,2,18.5,181,2013-04-21 08:26:20
2013-04-21,0.016201156492622,2,18.5,181,2013-04-21 08:28:11
2013-04-21,0.0132638042146394,2,18.5,181,2013-04-21 08:30:05
2013-04-21,0.011181823983446,2,18.5,181,2013-04-21 08:31:56
2013-04-21,0.0164015982940646,2,18.5,181,2013-04-21 08:33:48
2013-04-21,0.0148322674487491,2,18.5,181,2013-04-21 08:35:39
2013-04-21,0.0125532316348811,2,18.5,181,2013-04-21 08:37:32
2013-04-21,0.0109227017347939,2,18.5,181,2013-04-21 08:39:24
2013-04-21,0.0130993926687818,2,18.5,181,2013-04-21 08:41:16
2013-04-21,0.00707499577927839,2,18.5,181,2013-04-21 08:43:07
2013-04-21,0.0735229145945987,2,18.5,181,2013-04-21 08:45:00
2013-04-21,0.012776377043158,2,18.5,181,2013-04-21 08:46:51
2013-04-21,0.0158623339535143,2,18.5,181,2013-04-21 08:48:44
2013-04-21,0.198157311400237,2,18.5,183,2013-04-21 08:58:41
2013-04-21,0.0497540250645583,2.4,19.7,183,2013-04-21 09:00:32
2013-04-21,0.0197161698988655,2.4,19.7,183,2013-04-21 09:02:21
2013-04-21,0.0969533485732363,2.4,19.7,183,2013-04-21 09:04:15
2013-04-21,0.37020155536925,2.4,19.7,184,2013-04-21 09:23:07
2013-04-21,0.292735558018074,2.4,19.7,184,2013-04-21 09:25:00
2013-04-21,0.0993662691156281,2.4,19.7,184,2013-04-21 09:26:52
2013-04-21,0.0117163457669308,2.4,19.7,186,2013-04-21 09:42:19
2013-04-21,0.0134353095401295,2.4,19.7,186,2013-04-21 09:44:14
2013-04-21,0.00983114513298311,2.4,19.7,186,2013-04-21 09:46:09
2013-04-21,0.0210644289173207,2.4,19.7,187,2013-04-21 09:49:50
2013-04-21,0.0208971560121382,2.4,19.7,187,2013-04-21 09:51:41
2013-04-21,0.0113310718199928,2.4,19.7,187,2013-04-21 09:53:33
2013-04-21,0.0132156582443966,2.4,19.7,187,2013-04-21 09:55:24
2013-04-21,0.0107677921812573,2.4,19.7,187,2013-04-21 09:57:18
2013-04-21,0.0153997101765174,2.4,19.7,187,2013-04-21 09:59:11
2013-04-21,0.0143577016759278,2.4,19.7,188,2013-04-21 10:03:24
2013-04-21,0.0141382082596475,2.4,19.7,188,2013-04-21 10:05:15
2013-04-21,0.0170593422132267,2.4,19.7,188,2013-04-21 10:07:07
2013-04-21,0.0143991504660049,3.6,19.6,188,2013-04-21 10:09:01
2013-04-21,0.0163555572102377,3.6,19.6,188,2013-04-21 10:10:54
2013-04-21,0.0131947130503345,3.6,19.6,188,2013-04-21 10:12:48
2013-04-21,1.0635772504048,3.6,19.6,189,2013-04-21 10:16:28
2013-04-21,0.243531972135351,3.6,19.6,189,2013-04-21 10:18:19
2013-04-21,0.243505013617764,3.6,19.6,189,2013-04-21 10:20:13
2013-04-21,0.362748434309816,3.6,19.6,189,2013-04-21 10:22:03
2013-04-21,0.481189055389414,3.6,19.6,189,2013-04-21 10:23:56
2013-04-21,0.225307973116722,3.6,19.6,192,2013-04-21 10:48:44
2013-04-21,0.239513317120678,3.6,19.6,192,2013-04-21 10:50:35
2013-04-21,0.334713345917931,3.6,19.6,192,2013-04-21 10:52:28
2013-04-21,0.222285122755487,3.6,19.6,192,2013-04-21 10:54:22
2013-04-21,0.299352452336363,3.6,19.6,192,2013-04-21 10:56:11
2013-04-21,0.151888219659939,3.6,19.6,192,2013-04-21 10:58:02
2013-04-21,0.289081169698665,3.6,19.6,192,2013-04-21 10:59:55
2013-04-21,0.298749562787061,3.6,19.6,192,2013-04-21 11:01:52
2013-04-21,0.188725502585455,3.6,19.6,194,2013-04-21 11:11:06
2013-04-21,0.071374603563747,4.5,19.9,194,2013-04-21 11:13:01
2013-04-21,0.00689800093290716,4.5,19.9,194,2013-04-21 11:14:51
2013-04-21,0.489903611788472,4.5,19.9,194,2013-04-21 11:16:45
2013-04-21,0.0138437805932914,4.5,19.9,194,2013-04-21 11:18:35
2013-04-21,0.0229879189120574,4.5,19.9,194,2013-04-21 11:20:28
2013-04-21,0.0109614484727016,4.5,19.9,194,2013-04-21 11:22:20
2013-04-21,0.030349406512715,4.5,19.9,194,2013-04-21 11:24:12
2013-04-21,0.035418110251221,4.5,19.9,194,2013-04-21 11:26:04
2013-04-21,0.0162681290942868,4.5,19.9,194,2013-04-21 11:27:54
2013-04-21,0.0136597854104785,4.5,19.9,195,2013-04-21 11:31:55
2013-04-21,0.0160220193928062,4.5,19.9,195,2013-04-21 11:33:46
2013-04-21,0.0161714488917863,4.5,19.9,195,2013-04-21 11:35:40
2013-04-21,0.026685701281522,4.5,19.9,195,2013-04-21 11:37:35
